Recorded,NO2,NOx,heat_index,rh,pressure,wdir,wdir_cardinal,wspd,station_id
2019-12-11 03:30:00,9.24,10.16,5.0,87.0,996.65,190.0,S,43.0,Gade
2019-12-11 04:00:00,,,5.0,93.0,996.65,190.0,S,41.0,Gade
2019-12-11 04:30:00,7.96,8.57,5.0,93.0,996.65,190.0,S,43.0,Gade
2019-12-11 05:00:00,8.15,9.75,5.0,93.0,995.65,190.0,S,43.0,Gade
2019-12-11 05:30:00,12.32,17.65,6.0,93.0,995.65,200.0,SSW,43.0,Gade
2019-12-11 06:00:00,19.68,30.39,6.0,93.0,996.65,210.0,SSW,39.0,Gade
2019-12-11 06:30:00,28.63,50.01,6.0,93.0,996.65,210.0,SSW,31.0,Gade
2019-12-11 07:00:00,32.57,52.67,6.0,100.0,997.65,210.0,SSW,22.0,Gade
2019-12-11 07:30:00,37.62,62.83,6.0,100.0,997.65,210.0,SSW,22.0,Gade
2019-12-11 08:00:00,33.14,68.41,6.0,100.0,997.65,220.0,SW,15.0,Gade
2019-12-11 08:30:00,32.78,69.84,6.0,100.0,998.65,210.0,SSW,20.0,Gade
2019-12-11 09:00:00,41.5,77.83,6.0,93.0,998.65,210.0,SSW,22.0,Gade
2019-12-11 09:30:00,41.25,68.85,6.0,93.0,999.64,210.0,SSW,20.0,Gade
2019-12-11 10:00:00,30.98,50.11,6.0,87.0,999.64,210.0,SSW,19.0,Gade
2019-12-11 10:30:00,30.33,55.75,6.0,87.0,999.64,200.0,SSW,20.0,Gade
2019-12-11 11:00:00,28.11,48.18,5.0,93.0,1000.64,200.0,SSW,19.0,Gade
2019-12-11 11:30:00,29.07,53.51,6.0,87.0,1000.64,210.0,SSW,19.0,Gade
2019-12-11 12:00:00,31.04,58.69,6.0,93.0,1000.64,210.0,SSW,20.0,Gade
2019-12-11 12:30:00,29.34,52.69,6.0,87.0,1000.64,210.0,SSW,22.0,Gade
2019-12-11 13:00:00,35.13,81.23,6.0,87.0,1000.64,200.0,SSW,22.0,Gade
2019-12-11 13:30:00,34.78,112.48,6.0,93.0,1000.64,200.0,SSW,20.0,Gade
2019-12-11 14:00:00,35.12,102.62,6.0,87.0,1000.64,200.0,SSW,20.0,Gade
2019-12-11 14:30:00,37.8,90.28,6.0,87.0,1000.64,200.0,SSW,19.0,Gade
2019-12-11 15:00:00,38.35,108.51,6.0,87.0,1000.64,200.0,SSW,19.0,Gade
2019-12-11 15:30:00,38.44,104.21,6.0,87.0,1000.64,200.0,SSW,15.0,Gade
2019-12-11 16:00:00,38.89,112.36,5.0,93.0,1000.64,200.0,SSW,19.0,Gade
2019-12-11 16:30:00,37.58,106.87,5.0,93.0,1000.64,190.0,S,15.0,Gade
2019-12-11 17:00:00,38.16,96.37,5.0,93.0,1000.64,190.0,S,13.0,Gade
2019-12-11 17:30:00,34.14,83.41,5.0,93.0,1000.64,190.0,S,13.0,Gade
2019-12-11 18:00:00,35.86,76.48,3.0,100.0,1000.64,180.0,S,15.0,Gade
2019-12-11 18:30:00,38.0,67.14,3.0,100.0,1000.64,170.0,S,17.0,Gade
2019-12-11 19:00:00,38.07,75.92,3.0,100.0,1000.64,180.0,S,13.0,Gade
2019-12-11 19:30:00,32.8,56.55,4.0,93.0,1000.64,180.0,S,15.0,Gade
2019-12-11 20:00:00,36.44,77.08,4.0,93.0,1000.64,180.0,S,17.0,Gade
2019-12-11 20:30:00,29.52,50.0,4.0,93.0,1000.64,170.0,S,13.0,Gade
2019-12-11 21:00:00,40.91,76.64,4.0,93.0,1000.64,180.0,S,15.0,Gade
2019-12-11 21:30:00,31.81,53.34,4.0,93.0,1000.64,180.0,S,17.0,Gade
2019-12-11 22:00:00,32.57,59.9,4.0,93.0,999.64,180.0,S,17.0,Gade
2019-12-11 22:30:00,20.92,59.57,3.0,100.0,1000.64,180.0,S,13.0,Gade
2019-12-11 23:00:00,32.42,63.09,3.0,93.0,999.64,170.0,S,15.0,Gade
2019-12-11 23:30:00,15.58,29.83,3.0,93.0,999.64,160.0,SSE,15.0,Gade
2019-12-12 00:00:00,14.34,32.92,3.0,93.0,999.64,170.0,S,15.0,Gade
2019-12-12 00:30:00,11.67,21.82,3.0,93.0,999.64,170.0,S,13.0,Gade
2019-12-12 01:00:00,9.66,15.51,2.0,100.0,999.64,170.0,S,13.0,Gade
2019-12-12 01:30:00,11.78,17.79,2.0,100.0,999.64,170.0,S,15.0,Gade
2019-12-12 02:00:00,10.9,16.68,2.0,100.0,999.64,180.0,S,15.0,Gade
2019-12-12 02:30:00,10.44,14.17,3.0,100.0,998.65,180.0,S,17.0,Gade
2019-12-12 03:00:00,10.81,14.21,3.0,100.0,998.65,180.0,S,13.0,Gade
2019-12-12 03:30:00,12.51,15.15,3.0,100.0,998.65,180.0,S,15.0,Gade
2019-12-12 04:00:00,19.64,25.11,3.0,100.0,997.65,180.0,S,15.0,Gade
2019-12-12 04:30:00,17.67,24.56,3.0,100.0,997.65,170.0,S,13.0,Gade
2019-12-12 05:00:00,,,3.0,100.0,997.65,180.0,S,13.0,Gade
2019-12-12 05:30:00,35.04,66.4,3.0,100.0,997.65,170.0,S,13.0,Gade
2019-12-12 06:00:00,41.92,67.85,3.0,100.0,996.65,170.0,S,13.0,Gade
2019-12-12 06:30:00,45.73,145.72,3.0,100.0,996.65,170.0,S,13.0,Gade
2019-12-12 07:00:00,47.53,116.86,3.0,93.0,996.65,170.0,S,15.0,Gade
2019-12-12 07:30:00,55.42,103.56,3.0,100.0,996.65,180.0,S,15.0,Gade
