,NO2,NOX
992,13.679534,25.696451
993,14.3776245,27.077015
994,15.002806,28.544302
995,15.730833,29.888704
996,16.209583,31.171879
997,16.654993,31.969095
998,16.908897,32.393513
999,17.007893,33.193577
1000,17.099583,33.140793
1001,17.045372,33.107628
1002,16.819395,32.669266
1003,16.852983,32.068905
1004,16.540886,31.430208
1005,16.30971,31.08905
1006,16.020546,29.991186
1007,15.560597,29.098064
1008,8.407358,12.943565
1009,8.454496,13.009443
1010,8.314217,12.795837
1011,8.293859,12.438509
1012,8.150204,12.361925
1013,8.025852,11.717974
1014,7.8463306,11.406866
1015,7.5385113,10.742315
1016,7.340723,10.752766
1017,7.136422,10.049484
1018,6.701314,9.27622
1019,6.295844,8.652649
1020,5.9115276,7.852194
1021,5.593693,7.1256313
1022,5.4367476,6.546522
1023,4.8972387,6.05406
1024,4.6077127,5.425556
1025,4.4874926,5.036825
1026,4.3117723,4.745596
1027,4.1899443,4.581955
1028,4.1917048,4.643858
1029,4.379405,4.7202225
1030,4.398917,5.064356
1031,4.636178,5.3307457
1032,4.8179884,5.8701553
1033,5.0927954,6.345894
1034,5.5156355,7.2132015
1035,5.997059,8.198828
1036,6.6173315,9.08629
1037,6.9275885,10.190393
1038,7.6049194,11.33304
1039,7.9778967,12.684856
1040,8.595253,14.215036
1041,9.099443,15.290665
1042,9.716759,16.698393
1043,10.296787,17.623764
1044,10.969038,18.90629
1045,11.421492,19.648718
1046,11.7683,20.034046
1047,11.996445,21.160458
1048,12.154102,21.515947
1049,12.350199,21.632217
1050,12.367262,21.730537
1051,12.445589,21.537891
1052,12.228152,21.675125
1053,12.3203745,21.745087
1054,12.130773,21.28783
1055,11.754286,20.82679
1056,11.144211,18.304996
1057,11.045639,18.055418
1058,10.820801,17.613537
1059,10.696468,16.831543
1060,10.394883,16.500778
1061,10.160648,15.517006
1062,9.80735,14.844818
1063,9.335198,13.956629
1064,9.042608,13.568569
1065,8.572113,12.488247
1066,8.055973,11.562656
1067,7.4889755,10.579117
1068,6.912611,9.503668
1069,6.458249,8.495953
1070,6.1905527,7.756508
1071,5.5675163,7.049061
1072,5.257333,6.2836514
1073,5.013633,5.8463936
1074,4.8762608,5.577814
1075,4.7766666,5.6042156
1076,4.834236,5.719179
1077,5.038642,5.9757957
1078,5.1750174,6.500778
1079,5.514368,7.0968513
1080,5.8875713,7.8199387
1081,6.2174587,8.693937
1082,6.8382235,10.039064
1083,7.431017,11.46731
1084,8.1414,12.712696
1085,8.57156,14.099319
1086,9.358646,15.559114
1087,9.768555,17.185553
1088,10.467045,18.726704
1089,11.010838,19.99799
1090,11.629357,21.372314
1091,12.190519,22.318878
1092,12.745309,23.404728
1093,13.138492,24.071915
1094,13.422305,24.514366
1095,13.613812,25.49517
1096,13.713638,25.438915
1097,13.849244,25.738062
1098,13.902998,25.547184
1099,13.941628,25.113243
1100,13.776534,25.057178
1101,13.878073,25.041008
1102,13.658782,24.50388
1103,13.251734,23.97269
1104,26.10529,58.58124
1105,25.71648,57.01284
1106,25.248774,55.121708
1107,24.943497,52.94625
1108,24.446775,51.08389
1109,23.774893,48.437622
1110,23.067923,45.883816
1111,22.224703,43.719666
1112,21.490597,41.76364
1113,20.633856,38.86979
1114,19.730656,36.8276
