,NO2,NOX
1242,37.8,98.72
1243,38.35,108.51
1244,38.44,104.21
1245,38.89,112.36
1246,37.58,106.87
1247,38.16,96.37
1248,34.14,83.41
1249,34.82,76.48
1250,29.51,59.84
1251,27.46,57.67
1252,30.36,56.55
1253,28.31,54.59
1254,26.44,50.0
1255,28.31,54.39
1256,26.24,47.83
1257,25.34,52.53
1258,22.5,45.23
1259,21.14,36.56
1260,15.23,33.96
1261,8.45,12.18
1262,8.36,12.78
1263,6.41,7.63
1264,5.93,7.82
1265,4.02,5.3
1266,4.72,5.05
1267,6.33,7.27
1268,5.16,9.39
1269,7.21,9.54
1270,10.17,13.77
1271,5.39,7.31
1272,5.49,7.86
1273,8.7,15.91
1274,12.76,24.06
1275,12.07,22.38
1276,16.89,29.61
1277,17.94,34.81
1278,22.99,43.82
1279,20.73,42.9
1280,26.03,66.23
1281,33.71,87.32
1282,31.33,80.23
1283,29.16,63.3
1284,21.67,45.56
1285,33.87,75.49
1286,30.18,69.83
1287,34.78,83.61
1288,35.12,107.13
1289,37.8,98.72
1290,38.35,108.51
1291,38.44,104.21
1292,38.89,112.36
1293,37.58,106.87
1294,38.16,59.42
1295,34.14,82.25
1296,34.82,76.48
1297,29.51,59.84
1298,27.46,41.39
1299,30.36,56.55
1300,28.31,54.59
1301,26.44,50.0
1302,28.31,54.39
1303,26.24,47.83
1304,25.34,52.53
1305,22.5,45.23
1306,21.14,47.02
1307,19.3,34.95
1308,15.03,28.56
1309,13.54,29.42
1310,13.98,18.17
1311,12.62,17.21
1312,11.49,15.93
1313,12.25,15.15
1314,10.29,10.6
1315,10.88,16.43
1316,11.04,15.93
1317,15.4,26.99
1318,21.4,37.12
1319,31.36,68.8
1320,32.61,88.97
1321,34.02,84.39
1322,39.31,95.49
1323,32.35,85.26
1324,18.59,54.41
1325,28.69,56.86
1326,21.65,57.18
1327,30.31,79.15
1328,29.89,76.29
1329,27.5,69.39
1330,0.33,58.52
1331,12.87,39.78
1332,17.38,35.29
1333,35.13,77.42
1334,34.78,73.04
1335,18.19,56.04
1336,19.32,48.69
1337,13.54,69.33
1338,38.44,104.21
1339,25.78,86.22
1340,15.47,50.34
1341,18.65,60.7
1342,17.16,41.73
1343,17.75,48.0
1344,26.56,59.84
1345,26.32,57.67
1346,19.87,47.79
1347,15.07,30.58
1348,13.23,31.82
1349,18.72,50.36
1350,13.27,33.22
1351,11.51,23.06
1352,16.56,32.46
1353,10.81,20.6
1354,12.91,26.41
1355,13.31,23.57
1356,8.34,16.12
1357,5.34,7.52
