Recorded;NO2;NOx;O3
03-05-2020 10:30:00;2.22;2.61;84.04
03-05-2020 10:00:00;2.54;2.98;82.91
03-05-2020 09:30:00;2.66;3.15;81.12
03-05-2020 09:00:00;2.87;3.23;81.12
03-05-2020 08:30:00;2.58;3.0;81.64
03-05-2020 08:00:00;3.21;3.94;80.05
03-05-2020 07:30:00;4.29;4.86;79.77
03-05-2020 07:00:00;3.83;4.25;76.73
03-05-2020 06:30:00;3.85;4.21;75.03
03-05-2020 06:00:00;2.93;3.04;74.69
03-05-2020 05:30:00;3.14;3.23;73.3
03-05-2020 04:30:00;3.81;3.81;70.44
03-05-2020 04:00:00;3.81;4.02;68.16
03-05-2020 03:30:00;4.52;4.71;67.23
03-05-2020 03:00:00;5.33;5.29;64.79
03-05-2020 02:30:00;5.01;4.81;63.3
03-05-2020 02:00:00;4.14;4.4;
03-05-2020 01:30:00;4.41;4.37;64.11
03-05-2020 01:00:00;4.7;4.54;62.58
03-05-2020 00:30:00;5.47;5.67;63.24
03-05-2020 00:00:00;6.66;7.06;64.21
02-05-2020 23:30:00;5.56;5.11;69.03
02-05-2020 23:00:00;6.73;6.94;69.79
02-05-2020 22:30:00;5.31;5.29;75.22
